"Date","Close","Open","High","Low","Vol","Percentage Change"
"07/01/2008","887.08","899.53","899.53","884.03","9.24K","-1.77%"
"04/01/2008","903.09","904.83","905.38","903.09","8.13K","-0.57%"
"03/01/2008","908.25","913.56","915.46","908.25","8.89K","-1.39%"
"02/01/2008","921.07","925.66","926.01","921.07","6.47K","-0.64%"
"28/12/2007","927.02","920.72","927.02","920.72","5.90K","0.57%"
"27/12/2007","921.75","923.08","923.08","921.75","7.98K","-0.28%"
"26/12/2007","924.37","917.31","924.37","917.31","8.59K","0.65%"
"25/12/2007","918.43","925.11","925.11","918.43","7.54K","-1.34%"
"24/12/2007","930.86","933.66","933.66","930.86","7.32K","-0.45%"
"21/12/2007","935.07","930.37","935.07","930.37","8.38K","0.50%"
"20/12/2007","930.45","949.15","949.15","930.45","9.02K","-1.72%"
"19/12/2007","946.78","932.59","946.78","932.59","10.30K","2.96%"
"18/12/2007","919.60","911.42","919.60","911.42","7.87K","0.93%"
"17/12/2007","911.15","918.61","918.61","911.15","7.97K","-1.19%"
"14/12/2007","922.09","924.11","926.10","922.09","8.36K","-0.89%"
"13/12/2007","930.36","941.76","941.76","930.36","6.85K","-1.69%"
"12/12/2007","946.32","936.20","952.24","936.20","9.43K","0.56%"
"11/12/2007","941.04","948.91","948.91","941.04","8.63K","-1.82%"
"10/12/2007","958.48","966.72","966.72","958.48","10.42K","-1.66%"
"07/12/2007","974.63","970.15","976.19","970.15","8.97K","0.02%"
"06/12/2007","974.46","973.65","974.46","971.67","7.40K","-0.18%"
"05/12/2007","976.21","981.95","981.95","976.21","8.37K","-1.28%"
"04/12/2007","988.91","990.51","990.51","988.91","10.73K","0.10%"
"03/12/2007","987.96","977.86","987.96","977.86","9.96K","1.61%"
"30/11/2007","972.35","973.19","974.39","972.35","10.18K","-0.79%"
"29/11/2007","980.09","984.86","984.86","980.09","8.96K","-0.46%"
"28/11/2007","984.57","988.59","988.59","984.57","9.22K","-0.36%"
"27/11/2007","988.08","998.72","998.72","988.08","10.24K","-0.33%"
"26/11/2007","991.38","982.18","991.38","982.18","12.75K","1.58%"
"23/11/2007","975.92","979.11","979.11","974.44","8.98K","-0.13%"
"22/11/2007","977.17","977.57","980.02","977.17","8.85K","0.58%"
"21/11/2007","971.49","963.56","971.79","963.56","10.56K","-1.22%"
"20/11/2007","983.52","984.30","984.91","983.52","8.47K","-1.52%"
"19/11/2007","998.75","996.48","998.75","996.41","8.50K","0.05%"
"16/11/2007","998.22","996.07","998.22","996.07","11.75K","-0.45%"
"15/11/2007","1,002.71","1,007.06","1,007.06","1,001.28","14.43K","0.90%"
"14/11/2007","993.75","986.91","1,007.94","986.91","20.07K","2.07%"
"13/11/2007","973.59","999.38","999.38","973.59","13.57K","-3.23%"
"12/11/2007","1,006.12","1,012.50","1,012.50","1,006.12","13.95K","-1.20%"
